id,city,method,nClust,rep,cost
2,Mumbai,KCenters,3,18,111459.37430879117
0,Mumbai,IteratedWatershed,3,19,74515.98397766745
1,Mumbai,KMeans,3,19,92691.09205953567
2,Mumbai,KCenters,3,19,123380.67298382444
0,Mumbai,IteratedWatershed,6,0,46586.302608726364
1,Mumbai,KMeans,6,0,64684.31697620564
2,Mumbai,KCenters,6,0,83883.77480420785
0,Mumbai,IteratedWatershed,6,1,45508.64375308911
1,Mumbai,KMeans,6,1,64684.31697620564
2,Mumbai,KCenters,6,1,101418.1180318495
0,Mumbai,IteratedWatershed,6,2,45697.94392415633
1,Mumbai,KMeans,6,2,64684.31697620564
2,Mumbai,KCenters,6,2,98284.38023315556
0,Mumbai,IteratedWatershed,6,3,45697.94392415633
1,Mumbai,KMeans,6,3,64684.31697620564
2,Mumbai,KCenters,6,3,103730.67246258096
0,Mumbai,IteratedWatershed,6,4,46618.67218042671
1,Mumbai,KMeans,6,4,64684.31697620564
2,Mumbai,KCenters,6,4,89494.48587382903
0,Mumbai,IteratedWatershed,6,5,47881.752612940785
1,Mumbai,KMeans,6,5,64684.31697620564
2,Mumbai,KCenters,6,5,83523.89594557247
0,Mumbai,IteratedWatershed,6,6,46712.46744592373
1,Mumbai,KMeans,6,6,64684.31697620564
2,Mumbai,KCenters,6,6,96117.94301811166
0,Mumbai,IteratedWatershed,6,7,45697.94392415633
1,Mumbai,KMeans,6,7,64684.31697620564
2,Mumbai,KCenters,6,7,99344.81065921554
0,Mumbai,IteratedWatershed,6,8,45697.94392415633
1,Mumbai,KMeans,6,8,64684.31697620564
2,Mumbai,KCenters,6,8,98537.33076937396
0,Mumbai,IteratedWatershed,6,9,46457.48137470698
1,Mumbai,KMeans,6,9,64684.31697620564
2,Mumbai,KCenters,6,9,85577.0410431232
0,Mumbai,IteratedWatershed,6,10,45424.88591374222
1,Mumbai,KMeans,6,10,64684.31697620564
2,Mumbai,KCenters,6,10,96415.80791569689
0,Mumbai,IteratedWatershed,6,11,48457.852541227476
1,Mumbai,KMeans,6,11,64684.31697620564
2,Mumbai,KCenters,6,11,106560.24292322953
0,Mumbai,IteratedWatershed,6,12,48055.40628927656
1,Mumbai,KMeans,6,12,64684.31697620564
2,Mumbai,KCenters,6,12,90944.8134062114
0,Mumbai,IteratedWatershed,6,13,47453.838711571225
1,Mumbai,KMeans,6,13,64684.31697620564
2,Mumbai,KCenters,6,13,93835.71628685624
0,Mumbai,IteratedWatershed,6,14,46465.676748732774
1,Mumbai,KMeans,6,14,64684.31697620564
2,Mumbai,KCenters,6,14,118419.50005437607
0,Mumbai,IteratedWatershed,6,15,45697.94392415633
1,Mumbai,KMeans,6,15,64684.31697620564
2,Mumbai,KCenters,6,15,100682.74559145198
0,Mumbai,IteratedWatershed,6,16,46649.75660408242
1,Mumbai,KMeans,6,16,64684.31697620564
2,Mumbai,KCenters,6,16,90605.14349395441
0,Mumbai,IteratedWatershed,6,17,45697.94392415633
1,Mumbai,KMeans,6,17,64684.31697620564
2,Mumbai,KCenters,6,17,98650.04161001251
0,Mumbai,IteratedWatershed,6,18,45697.94392415633
1,Mumbai,KMeans,6,18,64684.31697620564
2,Mumbai,KCenters,6,18,83541.05116652252
0,Mumbai,IteratedWatershed,6,19,48896.23971480616
1,Mumbai,KMeans,6,19,64684.31697620564
2,Mumbai,KCenters,6,19,104843.66695378933
0,Mumbai,IteratedWatershed,9,0,34885.49955850984
1,Mumbai,KMeans,9,0,53030.12274108609
2,Mumbai,KCenters,9,0,79879.0594775704
0,Mumbai,IteratedWatershed,9,1,34710.64471602112
1,Mumbai,KMeans,9,1,53030.12274108609
2,Mumbai,KCenters,9,1,82950.16179625932
0,Mumbai,IteratedWatershed,9,2,36816.504568799246
1,Mumbai,KMeans,9,2,53030.12274108609
2,Mumbai,KCenters,9,2,73536.33293213988
0,Mumbai,IteratedWatershed,9,3,36111.07693038237
1,Mumbai,KMeans,9,3,53030.12274108609
2,Mumbai,KCenters,9,3,73939.30583574044
0,Mumbai,IteratedWatershed,9,4,36482.44636871912
1,Mumbai,KMeans,9,4,53030.12274108609
2,Mumbai,KCenters,9,4,86639.30957895976
0,Mumbai,IteratedWatershed,9,5,38309.26851419683
1,Mumbai,KMeans,9,5,53030.12274108609
2,Mumbai,KCenters,9,5,85752.78242850926
0,Mumbai,IteratedWatershed,9,6,37084.369738748
1,Mumbai,KMeans,9,6,52245.34368060596
2,Mumbai,KCenters,9,6,74354.34337850548
0,Mumbai,IteratedWatershed,9,7,35454.2796961149
1,Mumbai,KMeans,9,7,53030.12274108609
2,Mumbai,KCenters,9,7,79188.74153667166
0,Mumbai,IteratedWatershed,9,8,34840.53469734365
1,Mumbai,KMeans,9,8,53735.73608326553
2,Mumbai,KCenters,9,8,73734.73959096297
0,Mumbai,IteratedWatershed,9,9,36402.15866389182
1,Mumbai,KMeans,9,9,53030.12274108609
2,Mumbai,KCenters,9,9,87073.34757171216
0,Mumbai,IteratedWatershed,9,10,40018.348731131584
1,Mumbai,KMeans,9,10,53030.12274108609
2,Mumbai,KCenters,9,10,85371.27336208268
0,Mumbai,IteratedWatershed,9,11,36482.44636871912
1,Mumbai,KMeans,9,11,53030.12274108609
2,Mumbai,KCenters,9,11,81433.40332705103
0,Mumbai,IteratedWatershed,9,12,37357.32649355449
1,Mumbai,KMeans,9,12,59422.29870831469
2,Mumbai,KCenters,9,12,80310.5544895902
0,Mumbai,IteratedWatershed,9,13,36482.44636871912
1,Mumbai,KMeans,9,13,53030.12274108609
2,Mumbai,KCenters,9,13,73564.82259331037
0,Mumbai,IteratedWatershed,9,14,36514.007829068614
1,Mumbai,KMeans,9,14,53030.12274108609
2,Mumbai,KCenters,9,14,78635.6516138993
0,Mumbai,IteratedWatershed,9,15,34447.86344658596
1,Mumbai,KMeans,9,15,53030.12274108609
2,Mumbai,KCenters,9,15,87546.58591794038
0,Mumbai,IteratedWatershed,9,16,36211.516373638224
1,Mumbai,KMeans,9,16,53030.12274108609
2,Mumbai,KCenters,9,16,74982.87309717065
0,Mumbai,IteratedWatershed,9,17,40097.28787421054
1,Mumbai,KMeans,9,17,53030.12274108609
2,Mumbai,KCenters,9,17,78727.25769658708
0,Mumbai,IteratedWatershed,9,18,36613.19241983093
1,Mumbai,KMeans,9,18,53030.12274108609
2,Mumbai,KCenters,9,18,81398.51455476283
0,Mumbai,IteratedWatershed,9,19,35667.15876592503
1,Mumbai,KMeans,9,19,53735.73608326553
2,Mumbai,KCenters,9,19,81264.72199235889
0,Mumbai,IteratedWatershed,12,0,31996.135631548816
1,Mumbai,KMeans,12,0,42162.62587962441
2,Mumbai,KCenters,12,0,69490.78468761157
0,Mumbai,IteratedWatershed,12,1,31270.36440067519
1,Mumbai,KMeans,12,1,45899.03274374995
2,Mumbai,KCenters,12,1,67245.35137988039
0,Mumbai,IteratedWatershed,12,2,31596.625113788123
1,Mumbai,KMeans,12,2,45990.65277319753
2,Mumbai,KCenters,12,2,69650.95376781188
0,Mumbai,IteratedWatershed,12,3,32929.05975337942
1,Mumbai,KMeans,12,3,45811.59740818654
2,Mumbai,KCenters,12,3,74612.5257213682
0,Mumbai,IteratedWatershed,12,4,30433.877403561222
1,Mumbai,KMeans,12,4,45906.6519282199
2,Mumbai,KCenters,12,4,68339.338557977
0,Mumbai,IteratedWatershed,12,5,31137.60892536871
1,Mumbai,KMeans,12,5,46178.14431289646
2,Mumbai,KCenters,12,5,76318.9407407187
0,Mumbai,IteratedWatershed,12,6,31190.04160330211
1,Mumbai,KMeans,12,6,45811.59740818654
2,Mumbai,KCenters,12,6,68957.90748884494
0,Mumbai,IteratedWatershed,12,7,31221.008166206746
1,Mumbai,KMeans,12,7,45906.6519282199
