id,method,img_name,parameters,AMI,ARI,F,accuracy,time
26,IsoFull,0677845-r1-067-32_a,beta=3.0,0.0061988549157927855,0.00020433974495445123,0.6129459491261056,0.8808235294117647,0.6322903633117676
27,IsoFull,0677845-r1-067-32_a,beta=5.0,0.005691264190267818,0.01246749973522538,0.8834199586227299,0.8818039215686274,0.6281235218048096
28,IsoRecursive,0677845-r1-067-32_a,beta=1.0,0.0046739581764658426,-0.00800869528301576,0.4362158590132478,0.8808235294117647,1.6988391876220703
29,IsoRecursive,0677845-r1-067-32_a,beta=2.0,0.0062799189875661484,-0.006694139813260493,0.41510071272455656,0.8808235294117647,1.6923787593841553
30,IsoRecursive,0677845-r1-067-32_a,beta=3.0,0.005950078329387727,-0.032827921931160624,0.7073515323050098,0.8808235294117647,1.0544869899749756
31,IsoRecursive,0677845-r1-067-32_a,beta=5.0,0.0024510938878742378,-0.0008651860893798118,0.6126658726725627,0.8808235294117647,2.1442301273345947
32,KMeans,0677845-r1-067-32_a,nClust=2,0.010759780427309082,-2.9030751375449034e-05,0.6132863335465082,0.8808235294117647,0.2986016273498535
33,IteratedWatershed,pict2605,nCluster=2repeat=0,0.04932275004459184,0.1076580397702459,0.6228739420167058,0.7070916666666667,35.681567668914795
34,IteratedWatershed,pict2605,nCluster=2repeat=1,0.033172558099442466,0.045749438143195105,0.5423421280321052,0.7070916666666667,35.74077033996582
35,IteratedWatershed,pict2605,nCluster=2repeat=2,0.05137930144031766,0.13879733520334606,0.7021620914548323,0.729075,12.615263223648071
36,IteratedWatershed,pict2605,nCluster=2repeat=3,0.023554490741152664,0.03807132495187346,0.5427229656323804,0.7070916666666667,35.99595808982849
37,IteratedWatershed,pict2605,nCluster=2repeat=4,0.04932275004459184,0.1076580397702459,0.6228739420167058,0.7070916666666667,36.016136169433594
38,IteratedWatershed,pict2605,nCluster=2repeat=5,0.033172558099442466,0.045749438143195105,0.5423421280321052,0.7070916666666667,35.71404409408569
39,IteratedWatershed,pict2605,nCluster=2repeat=6,0.02391134771247855,0.03852642460489614,0.5427600295855255,0.7070916666666667,36.06619644165039
40,IteratedWatershed,pict2605,nCluster=2repeat=7,0.05609030326869083,0.11864361261510697,0.6304203695323047,0.7070916666666667,23.200363874435425
41,IteratedWatershed,pict2605,nCluster=2repeat=8,0.033172558099442466,0.045749438143195105,0.5423421280321052,0.7070916666666667,36.91344976425171
42,IteratedWatershed,pict2605,nCluster=2repeat=9,0.0230225351635995,0.03506754668711471,0.541451063224674,0.7070916666666667,36.9441933631897
43,IteratedWatershed,pict2605,nCluster=2repeat=10,0.05346812954472386,0.11487662254479988,0.6306833622135791,0.7070916666666667,19.760995864868164
44,IteratedWatershed,pict2605,nCluster=2repeat=11,0.021350089080573155,0.06925664925746615,0.6203854199804719,0.7070916666666667,35.85645294189453
45,IteratedWatershed,pict2605,nCluster=2repeat=12,0.033172558099442466,0.045749438143195105,0.5423421280321052,0.7070916666666667,35.72737455368042
46,IteratedWatershed,pict2605,nCluster=2repeat=13,0.04932275004459184,0.1076580397702459,0.6228739420167058,0.7070916666666667,35.74821877479553
47,IteratedWatershed,pict2605,nCluster=2repeat=14,0.042375959441518556,0.09312669221978445,0.6042977784936083,0.7070916666666667,36.017396211624146
48,IteratedWatershed,pict2605,nCluster=2repeat=15,0.03313602306982582,0.04569957081503608,0.5423337780749613,0.7070916666666667,35.82412004470825
49,IteratedWatershed,pict2605,nCluster=2repeat=16,0.030623663999762844,0.0083906832151956,0.5688608055905217,0.7070916666666667,35.874165296554565
50,IteratedWatershed,pict2605,nCluster=2repeat=17,0.04932275004459184,0.1076580397702459,0.6228739420167058,0.7070916666666667,35.76113557815552
51,IteratedWatershed,pict2605,nCluster=2repeat=18,0.04932275004459184,0.1076580397702459,0.6228739420167058,0.7070916666666667,35.641616344451904
52,IteratedWatershed,pict2605,nCluster=2repeat=19,0.033172558099442466,0.045749438143195105,0.5423421280321052,0.7070916666666667,36.0421884059906
53,SpectralClustering,pict2605,nCluster=2beta=1.0,0.17686558946203587,0.14581297068305557,0.3816665250237833,0.8952916666666667,6.380228757858276
54,SpectralClustering,pict2605,nCluster=2beta=2.0,0.2515515694798031,0.21979027207548038,0.4638031938669896,0.9200666666666667,5.121748924255371
55,SpectralClustering,pict2605,nCluster=2beta=3.0,0.24823648158725553,0.21501389613378646,0.4604319920300121,0.9170166666666667,5.090072154998779
56,SpectralClustering,pict2605,nCluster=2beta=5.0,0.19182672801448739,0.07946815700068201,0.5282188717304034,0.7240416666666667,5.156288146972656
57,IsoFull,pict2605,beta=1.0,0.10054699243885995,0.07991248096564775,0.5787749588566354,0.7070916666666667,2.01400089263916
58,IsoFull,pict2605,beta=2.0,0.12198600012530776,0.04667488353321331,0.575905862857795,0.7070916666666667,2.0248563289642334
59,IsoFull,pict2605,beta=3.0,0.00024817988688146677,0.0007017205708960585,0.7387348923039688,0.7072666666666667,2.029193639755249
60,IsoFull,pict2605,beta=5.0,0.0004193761946921929,0.000901846787157956,0.7387872150173374,0.7073666666666667,2.0243494510650635
61,IsoRecursive,pict2605,beta=1.0,0.07992188553738488,-0.038710527191724436,0.5690380245467289,0.7070916666666667,3.9907965660095215
62,IsoRecursive,pict2605,beta=2.0,0.07754177923210112,-0.03943320481354399,0.6388074262995409,0.7070916666666667,3.527841567993164
63,IsoRecursive,pict2605,beta=3.0,0.10073393733723147,-0.03659966290735966,0.6305363950259735,0.7070916666666667,5.743834018707275
64,IsoRecursive,pict2605,beta=5.0,0.0007837637438111846,0.0021370538525859475,0.7386470103534637,0.7076333333333333,7.285291433334351
65,KMeans,pict2605,nClust=2,0.30336457833601815,0.3475423761598796,0.6851103152527516,0.7947666666666666,0.9404685497283936
66,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=0,0.04638592415203766,0.07417735927909978,0.5819496190231617,0.7463111111111111,20.46601891517639
67,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=1,0.043348656350495375,0.06670648557824585,0.5774189060513872,0.7463111111111111,20.256465196609497
68,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=2,0.020187883063235667,-0.03645969542122668,0.7354150544454147,0.7463111111111111,3.0572307109832764
69,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=3,0.03314546131342187,0.0561580277978883,0.5745288206572325,0.7463111111111111,20.41387128829956
70,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=4,0.05560727570818487,0.07784836738709114,0.5806182000954964,0.7463111111111111,20.49899435043335
71,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=5,0.04468524780849911,0.06833664080830439,0.578076911818738,0.7463111111111111,20.450331687927246
72,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=6,0.020482610058912883,0.04160920642941524,0.5712627864702117,0.7463111111111111,20.450227975845337
73,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=7,0.025532800811147227,0.04791548641526666,0.5727408618869119,0.7463111111111111,20.473209619522095
74,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=8,0.01951703228861914,0.045257423343946876,0.5764796202013178,0.7463111111111111,20.49002170562744
75,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=9,0.0772540527668755,0.09462163341760801,0.5863153094720158,0.7463111111111111,20.399144887924194
76,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=10,0.04543305456544148,0.07018136499273643,0.5790173928227914,0.7463111111111111,20.433148622512817
77,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=11,0.020482610058912883,0.04160920642941524,0.5712627864702117,0.7463111111111111,20.342533349990845
78,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=12,0.10318627980369192,0.11543302029847573,0.5954671059177937,0.7463111111111111,20.380549907684326
79,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=13,0.008258142396007525,0.027222019915167074,0.5764910146760891,0.7463111111111111,20.366753101348877
80,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=14,0.020482610058912883,0.04160920642941524,0.5712627864702117,0.7463111111111111,20.270206689834595
81,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=15,0.01951703228861914,0.045257423343946876,0.5764796202013178,0.7463111111111111,20.52230668067932
82,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=16,0.025532800811147227,0.04791548641526666,0.5727408618869119,0.7463111111111111,20.558948755264282
83,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=17,0.04543305456544148,0.07018136499273643,0.5790173928227914,0.7463111111111111,20.35843849182129
84,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=18,0.030270517178339035,0.052813995376284936,0.5735600305023046,0.7463111111111111,20.50698947906494
85,IteratedWatershed,ireland_62_bg_061502,nCluster=2repeat=19,0.03300639015830163,0.05601506681139251,0.5744961422516706,0.7463111111111111,20.4548237323761
86,SpectralClustering,ireland_62_bg_061502,nCluster=2beta=1.0,0.05798981772747391,0.01681729255653859,0.34216541667456063,0.7463111111111111,2.92425799369812
87,SpectralClustering,ireland_62_bg_061502,nCluster=2beta=2.0,0.03475753466471573,0.011175078398612976,0.3968065668116574,0.7463111111111111,3.1228415966033936
88,SpectralClustering,ireland_62_bg_061502,nCluster=2beta=3.0,8.169102526110461e-05,-0.00033923376391245796,0.7661947390818151,0.7463111111111111,2.267599582672119
89,SpectralClustering,ireland_62_bg_061502,nCluster=2beta=5.0,9.874152474130634e-05,-0.00037491457856977185,0.766168192478132,0.7463111111111111,3.0271666049957275
90,IsoFull,ireland_62_bg_061502,beta=1.0,0.002367693426899621,0.0027981165391781334,0.5553576935655251,0.7463111111111111,0.9499301910400391
91,IsoFull,ireland_62_bg_061502,beta=2.0,0.0008066027690035435,-0.0018368848019911725,0.7650279613588608,0.7463111111111111,0.9448716640472412
92,IsoFull,ireland_62_bg_061502,beta=3.0,0.00040793039817181744,-0.000854212972504933,0.7657172748008102,0.7463111111111111,0.9446134567260742
93,IsoFull,ireland_62_bg_061502,beta=5.0,0.0009759971603907926,-0.0021106242883271076,0.7648689603965156,0.7463111111111111,0.9438772201538086
94,IsoRecursive,ireland_62_bg_061502,beta=1.0,0.14453276022180378,-0.04847368890840677,0.6269604542748142,0.7613481481481481,1.8155322074890137
95,IsoRecursive,ireland_62_bg_061502,beta=2.0,0.0940401548126722,-0.026661861846735694,0.5416716822028858,0.7463111111111111,2.9512312412261963
96,IsoRecursive,ireland_62_bg_061502,beta=3.0,0.0307072132123837,-0.05080206998970178,0.71977957688586,0.7463111111111111,3.2575414180755615
97,IsoRecursive,ireland_62_bg_061502,beta=5.0,0.03031853858638746,-0.050981665800800546,0.7192967425798569,0.7463111111111111,3.5722928047180176
98,KMeans,ireland_62_bg_061502,nClust=2,0.0017089084772465635,0.00176642170880335,0.5548852360455067,0.7463111111111111,0.5000338554382324
99,IteratedWatershed,pic1080629574,nCluster=2repeat=0,0.0533815796775024,0.10384829263657802,0.8561584883404857,0.85615,32.77861046791077
100,IteratedWatershed,pic1080629574,nCluster=2repeat=1,0.027697639663991105,0.0553120331199979,0.8523379981984949,0.850325,32.592424392700195
101,IteratedWatershed,pic1080629574,nCluster=2repeat=2,0.02948336159792403,0.058768766176906836,0.8526012168403839,0.8507333333333333,32.405760765075684
