id,method,img_name,parameters,AMI,ARI,F,accuracy,time
0,IteratedWatershed,imgp1883,nCluster=3repeat=0,0.0976855848125138,0.16231304536579094,0.7327431530627246,0.9530952380952381,16.54059338569641
1,IteratedWatershed,imgp1883,nCluster=3repeat=1,0.11682162888799084,0.22932728946928765,0.8045683284431199,0.9530952380952381,5.534978866577148
2,IteratedWatershed,imgp1883,nCluster=3repeat=2,0.04296544964839634,0.010469122061287105,0.5460828065467962,0.9530952380952381,5.513880729675293
3,IteratedWatershed,imgp1883,nCluster=3repeat=3,0.11190272310531595,0.21062195532601424,0.7891512521422207,0.9530952380952381,8.066482782363892
4,IteratedWatershed,imgp1883,nCluster=3repeat=4,0.11828993289371918,0.21192546344613808,0.777039318605303,0.9530952380952381,9.36523175239563
5,IteratedWatershed,imgp1883,nCluster=3repeat=5,0.07604930708848895,0.10479149003772657,0.6579335750144583,0.9530952380952381,19.852442026138306
6,IteratedWatershed,imgp1883,nCluster=3repeat=6,0.07604930708848895,0.10479149003772657,0.6579335750144583,0.9530952380952381,19.478888034820557
7,IteratedWatershed,imgp1883,nCluster=3repeat=7,0.05426732274173058,0.03209217696478178,0.5299149770111237,0.9530952380952381,19.679198026657104
8,IteratedWatershed,imgp1883,nCluster=3repeat=8,0.07604930708848895,0.10479149003772657,0.6579335750144583,0.9530952380952381,18.98768663406372
9,IteratedWatershed,imgp1883,nCluster=3repeat=9,0.10552422791883494,0.18517831797195547,0.7441062033666183,0.9530952380952381,8.016226053237915
10,IteratedWatershed,imgp1883,nCluster=3repeat=10,0.06350433892906102,0.07412603736212744,0.5992698860125953,0.9530952380952381,4.671284198760986
11,IteratedWatershed,imgp1883,nCluster=3repeat=11,0.09699765370995828,0.16138364288266852,0.728090772677156,0.9530952380952381,4.66692852973938
12,IteratedWatershed,imgp1883,nCluster=3repeat=12,0.08552454949877043,0.12830925667290863,0.6914620303361381,0.9530952380952381,7.075767278671265
13,IteratedWatershed,imgp1883,nCluster=3repeat=13,0.07014338435627973,0.08548662905474003,0.6280629144136971,0.9530952380952381,19.62161350250244
14,IteratedWatershed,imgp1883,nCluster=3repeat=14,0.07011399470037304,0.08539136244528708,0.6278965683291202,0.9530952380952381,19.57630157470703
15,IteratedWatershed,imgp1883,nCluster=3repeat=15,0.05393664310795166,0.04557063989545047,0.7198570226749215,0.9530952380952381,6.587931156158447
16,IteratedWatershed,imgp1883,nCluster=3repeat=16,0.11704922798960164,0.22948088055635538,0.8049552079689546,0.9530952380952381,7.454909801483154
17,IteratedWatershed,imgp1883,nCluster=3repeat=17,0.06260942777000746,0.08120641877643917,0.7829462381257041,0.9530952380952381,19.65057063102722
18,IteratedWatershed,imgp1883,nCluster=3repeat=18,0.05880195078024854,0.07109908262953538,0.7780269096670134,0.9530952380952381,19.604920864105225
19,IteratedWatershed,imgp1883,nCluster=3repeat=19,0.05829535463627285,0.06988764627360892,0.7763741814195763,0.9530952380952381,19.600301265716553
20,SpectralClustering,imgp1883,nCluster=3beta=1.0,0.05059855191857685,0.013718700420728858,0.29762484447024723,0.9530952380952381,2.927273750305176
21,SpectralClustering,imgp1883,nCluster=3beta=2.0,0.053796058090945134,0.029599307358455236,0.3675015851616641,0.9530952380952381,3.0100185871124268
22,SpectralClustering,imgp1883,nCluster=3beta=3.0,0.041707264247784405,0.016488768449835194,0.6724397915359422,0.9530952380952381,3.2251181602478027
23,SpectralClustering,imgp1883,nCluster=3beta=5.0,-7.18917180511314e-05,-0.000678465875568727,0.9522483391657771,0.9530952380952381,3.42360258102417
24,IsoFull,imgp1883,beta=1.0,0.0040999995739666876,-0.025392140656781092,0.9345549510937744,0.9530952380952381,1.7590107917785645
25,IsoFull,imgp1883,beta=2.0,0.0056758420118735,-0.03308799841068796,0.9245305164997281,0.9530952380952381,0.9434463977813721
26,IsoFull,imgp1883,beta=3.0,4.575804356711374e-05,0.0021992334238667005,0.9517525996839551,0.9530952380952381,0.9769763946533203
27,IsoFull,imgp1883,beta=5.0,2.257972738088525e-05,-0.0003513453671196111,0.9518454284877677,0.9530952380952381,1.2322514057159424
28,IsoRecursive,imgp1883,beta=1.0,0.032618957882379715,0.0014629030389971603,0.5044358268347955,0.9530952380952381,3.4887242317199707
29,IsoRecursive,imgp1883,beta=2.0,0.010479391346344687,-0.0355371890377615,0.8548211604897478,0.9530952380952381,3.4929938316345215
30,IsoRecursive,imgp1883,beta=3.0,0.009512334993889272,-0.034002646544478855,0.8508099595505818,0.9530952380952381,3.4626049995422363
31,IsoRecursive,imgp1883,beta=5.0,0.006779155003907854,-0.038010847804221794,0.8975336297220624,0.9530952380952381,3.3587541580200195
32,KMeans,imgp1883,nClust=3,0.04541761710465297,0.008488002288874388,0.49181561369393834,0.9530952380952381,1.0585582256317139
0,IteratedWatershed,swan_and_friend,nCluster=3repeat=0,0.25127924874933805,0.27964514102648247,0.5922263269833048,0.8742962962962963,20.33290457725525
1,IteratedWatershed,swan_and_friend,nCluster=3repeat=1,0.23828335108914636,0.2484445662013443,0.5724769598357021,0.8619111111111111,20.286295652389526
2,IteratedWatershed,swan_and_friend,nCluster=3repeat=2,0.24697639008108907,0.273791794944799,0.5883075035450154,0.8709185185185185,20.929686307907104
3,IteratedWatershed,swan_and_friend,nCluster=3repeat=3,0.2558310465990733,0.2851665188642708,0.5959200920290945,0.8777185185185186,20.265406608581543
4,IteratedWatershed,swan_and_friend,nCluster=3repeat=4,0.2518759585983293,0.28002221374720865,0.5924554004910146,0.8747851851851852,19.9640851020813
5,IteratedWatershed,swan_and_friend,nCluster=3repeat=5,0.25127924874933805,0.27964514102648247,0.5922263269833048,0.8742962962962963,20.30799651145935
6,IteratedWatershed,swan_and_friend,nCluster=3repeat=6,0.25432011789805103,0.2848199840500862,0.5960029167363634,0.8770074074074075,20.232430696487427
7,IteratedWatershed,swan_and_friend,nCluster=3repeat=7,0.25127924874933805,0.27964514102648247,0.5922263269833048,0.8742962962962963,20.148540019989014
8,IteratedWatershed,swan_and_friend,nCluster=3repeat=8,0.2469110708885217,0.27370727027893726,0.5882527454370194,0.870874074074074,20.16888117790222
9,IteratedWatershed,swan_and_friend,nCluster=3repeat=9,0.2469110708885217,0.27370727027893726,0.5882527454370194,0.870874074074074,20.094196796417236
10,IteratedWatershed,swan_and_friend,nCluster=3repeat=10,0.25127924874933805,0.27964514102648247,0.5922263269833048,0.8742962962962963,20.40766191482544
11,IteratedWatershed,swan_and_friend,nCluster=3repeat=11,0.2564496421129578,0.28586125805396545,0.5963935762655903,0.8781777777777777,20.83099365234375
12,IteratedWatershed,swan_and_friend,nCluster=3repeat=12,0.2564496421129578,0.28586125805396545,0.5963935762655903,0.8781777777777777,20.251689910888672
13,IteratedWatershed,swan_and_friend,nCluster=3repeat=13,0.34820375839438317,0.3299485302688006,0.6335775736160342,0.9172296296296296,20.322041273117065
14,IteratedWatershed,swan_and_friend,nCluster=3repeat=14,0.25432011789805103,0.2848199840500862,0.5960029167363634,0.8770074074074075,20.159950971603394
15,IteratedWatershed,swan_and_friend,nCluster=3repeat=15,0.25127924874933805,0.27964514102648247,0.5922263269833048,0.8742962962962963,20.259100198745728
16,IteratedWatershed,swan_and_friend,nCluster=3repeat=16,0.25127924874933805,0.27964514102648247,0.5922263269833048,0.8742962962962963,20.390832662582397
17,IteratedWatershed,swan_and_friend,nCluster=3repeat=17,0.2564496421129578,0.28586125805396545,0.5963935762655903,0.8781777777777777,20.503507137298584
